Index,Champion,Other Champions,Synergy,Counter,Synergy Total,Counter Total
46,Aatrox,Jayce,0,1,0,5
47,Aatrox,Jhin,1,-2,3,2
48,Aatrox,Jinx,1,0,1,0
49,Aatrox,Karma,0,-2,2,6
50,Aatrox,Kalista,0,1,0,1
51,Aatrox,Karthus,1,1,7,1
52,Aatrox,Kassadin,0,-1,0,1
53,Aatrox,Kai Sa,0,0,0,0
54,Aatrox,Katarina,1,-22,1,28
55,Aatrox,Kayn,2,-4,6,4
56,Aatrox,Kayle,0,0,0,0
57,Aatrox,Kennen,-1,0,1,0
58,Aatrox,Kha Zix,0,0,0,0
59,Aatrox,Kog Maw,0,0,0,0
60,Aatrox,Kled,0,0,0,0
61,Aatrox,Kindred,3,-2,3,2
62,Aatrox,LeBlanc,0,0,0,0
63,Aatrox,Lee Sin,0,0,0,0
64,Aatrox,Leona,1,0,1,2
65,Aatrox,Lucian,0,8,8,14
66,Aatrox,Lissandra,2,0,2,0
67,Aatrox,Lulu,0,-3,6,3
68,Aatrox,Lux,-1,1,5,1
69,Aatrox,Malphite,0,0,0,0
70,Aatrox,Malzahar,0,1,2,3
71,Aatrox,Maokai,0,0,0,0
72,Aatrox,Master Yi,0,0,0,0
73,Aatrox,Miss Fortune,0,0,0,0
74,Aatrox,Mordekaiser,0,0,0,0
75,Aatrox,Morgana,1,1,1,1
76,Aatrox,Nami,-1,5,7,7
77,Aatrox,Nasus,0,0,0,0
78,Aatrox,Nautilus,1,-1,3,3
79,Aatrox,Neeko,0,0,0,0
80,Aatrox,Nidalee,7,1,7,1
81,Aatrox,Nocturne,0,-1,0,1
82,Aatrox,Nunu and Willump,0,0,0,0
83,Aatrox,Olaf,-2,0,2,0
84,Aatrox,Orrn,0,0,0,0
85,Aatrox,Orianna,-1,0,1,0
86,Aatrox,Pantheon,1,-1,1,1
87,Aatrox,Poppy,1,0,1,0
88,Aatrox,Pyke,0,0,2,0
89,Aatrox,Quinn,0,1,0,1
90,Aatrox,Rammus,-1,-1,1,1
91,Aatrox,Rakan,1,1,1,3
92,Aatrox,Rek Sai,0,0,0,0
93,Aatrox,Renekton,0,1,0,3
94,Aatrox,Rengar,1,-1,1,1
95,Aatrox,Riven,0,2,0,2
96,Aatrox,Rumble,0,0,2,0
97,Aatrox,Ryze,-1,2,3,2
98,Aatrox,Samira,0,0,0,0
99,Aatrox,Sejuani,0,1,0,1
100,Aatrox,Seraphine,0,2,2,6
101,Aatrox,Shaco,-1,1,1,1
102,Aatrox,Shen,0,0,0,0
103,Aatrox,Shyvana,0,0,0,0
104,Aatrox,Singed,0,-1,0,1
105,Aatrox,Sion,0,2,0,2
106,Aatrox,Sivir,0,0,0,0
107,Aatrox,Skarner,-1,0,1,0
108,Aatrox,Sona,-1,0,1,0
109,Aatrox,Soraka,1,1,1,1
110,Aatrox,Swain,1,0,1,0
111,Aatrox,Syndra,2,1,2,1
112,Aatrox,Sylas,0,0,0,4
113,Aatrox,Talon,4,5,6,5
114,Aatrox,Taliyah,3,2,3,2
115,Aatrox,Taric,0,0,0,0
116,Aatrox,Tahm Kench,0,0,0,0
117,Aatrox,Thresh,1,10,13,12
